"publisher_name","broken_package_count","broken_resource_count","publisher_title"
"dudley-group-of-hospitals-nhs-foundation-trust","4","29","Dudley Group of Hospitals NHS Foundation Trust"
"dudley-primary-care-trust","1","1","Dudley Primary Care Trust"
"durham-county-council","1","1","Durham County Council"
"east-cambridgeshire-district-council","10","10","East Cambridgeshire District Council"
"east-cheshire-nhs-trust","3","11","East Cheshire NHS Trust"
"east-dorset-district-council","1","12","East Dorset District Council"
"east-midlands-strategic-health-authority","6","37","East Midlands Strategic Health Authority"
"east-staffordshire-borough-council","1","1","East Staffordshire Borough Council"
"east-sussex-county-council","1","3","East Sussex County Council"
"east-of-england-ambulance-service-nhs-trust","1","18","East of England Ambulance Service NHS Trust"
"eastleigh-borough-council","1","1","Eastleigh Borough Council"
"economic-and-social-research-council","11","12","Economic and Social Research Council"
"engineering-and-physical-sciences-research-council","1","2","Engineering and Physical Sciences Research Council"
"english-heritage","1","3","English Heritage"
"environment-agency","16","21","Environment Agency"
"equality-and-human-rights-commission","2","8","Equality and Human Rights Commission"
"european-commission","1","1","European Commission"
"eurostat","1","1","Eurostat"
"exmoor-national-park","2","2","Exmoor National Park Authority"
"export-credits-guarantee-department","4","74","Export Credits Guarantee Department"
"fareham-borough-council","1","3","Fareham Borough Council"
"fire-service-college","1","1","Fire Service College"
"firebuy","2","20","Firebuy"
"food-standards-agency","2","2","Food Standards Agency"
"foreign-and-commonwealth-office","9","17","Foreign and Commonwealth Office"
"forestry-commission","1","4","Forestry Commission"
"frimley-park-hospital-nhs-foundation-trust","7","38","Frimley Park Hospital NHS Foundation Trust"
"gambling-commission","4","7","Gambling Commission"
"gateshead-council","1","1","Gateshead Council"
"gateshead-primary-care-trust","1","36","Gateshead Primary Care Trust"
"general-social-care-council","5","27","General Social Care Council"
"george-eliot-hospital-nhs-trust","17","29","George Eliot Hospital NHS Trust"
"gloucester-city-council","1","1","Gloucester City Council"
"government-actuarys-department","1","40","Government Actuary's Department"
"government-equalities-office","3","11","Government Equalities Office"
"great-western-ambulance-service-nhs-trust","1","10","Great Western Ambulance Service NHS Trust"
"greater-london-authority","1","16","Greater London Authority"
"hm-courts-service","4","4","HM Courts Service"
"hm-crown-prosecution-service-inspectorate","1","7","HM Crown Prosecution Service Inspectorate"
"harlow-council","1","1","Harlow Council"
"harrogate-borough-council","11","12","Harrogate Borough Council"
"hartlepool-borough-council","1","1","Hartlepool Borough Council"
"hartlepool-primary-care-trust","2","9","Hartlepool Primary Care Trust"
"health-and-safety-executive","6","10","Health and Safety Executive"
"healthcare-quality-improvement-partnership","22","113","Healthcare Quality Improvement Partnership"
"heart-of-birmingham-teaching-primary-care-trust","1","32","Heart of Birmingham teaching Primary Care Trust"
"heart-of-england-nhs-foundation-trust","1","6","Heart of England NHS Foundation Trust"
"her-majestys-revenue-and-customs","13","40","Her Majesty's Revenue and Customs"
"her-majestys-treasury","25","158","Her Majesty's Treasury"
"hereford-hospitals-nhs-trust","1","6","Hereford Hospitals NHS Trust"
"hertfordshire-county-council","1","6","Hertfordshire County Council"
"higher-education-funding-council-for-england","1","1","Higher Education Funding Council for England"
"higher-education-statistics-agency","11","170","Higher Education Statistics Agency"
"highways-agency","3","53","Highways Agency"
"home-office","55","303","Home Office"
"homes-and-communities-agency","3","21","Homes and Communities Agency"
"horniman-public-museum-public-park-trust","2","10","Horniman Public Museum & Public Park Trust"
"horserace-betting-levy-board","2","7","Horserace Betting Levy Board"
"hull-city-council","1","4","Hull City Council"
"hull-and-east-yorkshire-hospitals-nhs-trust","1","23","Hull and East Yorkshire Hospitals NHS Trust"
"human-tissue-authority","1","1","Human Tissue Authority"
"isd-scotland","2","2","ISD Scotland"
"identity-passport-service","3","3","Identity & Passport Service"
"imperial-war-museum","1","3","Imperial War Museum"
"independent-housing-ombudsman","1","5","Independent Housing Ombudsman"
"independent-parliamentary-standards-authority","1","6","Independent Parliamentary Standards Authority"
"information-commissioners-office","1","4","Information Commissioner's Office"
"infrastructure-planning-commission","3","5","Infrastructure Planning Commission"
"isle-of-wight-nhs-trust","1","1","Isle of Wight NHS Trust"
"judicial-appointments-commission","1","4","Judicial Appointments Commission"
"keep-britain-tidy","10","52","Keep Britain Tidy"
"kirklees-primary-care-trust","2","2","Kirklees Primary Care Trust"
"lambeth-primary-care-trust","1","5","Lambeth Primary Care Trust"
"lancashire-care-nhs-foundation-trust","1","7","Lancashire Care NHS Foundation Trust"
"leeds-city-council","1","2","Leeds City Council"
"leeds-community-healthcare-nhs-trust","2","2","Leeds Community Healthcare NHS Trust"
"leeds-teaching-hospitals-nhs-trust","1","6","Leeds Teaching Hospitals NHS Trust"
"legal-services-board","1","4","Legal Services Board"
"legal-services-commission","1","1","Legal Services Commission"
"lewisham-primary-care-trust","1","9","Lewisham Primary Care Trust"
"lichfield-district-council","4","4","Lichfield District Council"
"lincolnshire-community-health-services-nhs-trust","1","2","Lincolnshire Community Health Services NHS Trust"
"lincolnshire-primary-care-trust","1","10","Lincolnshire Primary Care Trust"
"liverpool-heart-and-chest-hospital-nhs-foundation-trust","1","12","Liverpool Heart and Chest Hospital NHS Foundation Trust"
"liverpool-primary-care-trust","1","33","Liverpool Primary Care Trust"
"local-authorities","217","613","Local Authorities"
"local-government-boundary-commission-for-england","3","15","Local Government Boundary Commission for England"
"local-government-ombudsman","5","13","Local Government Ombudsman"
"london-borough-of-barnet","3","6","London Borough of Barnet"
"london-borough-of-brent","9","9","London Borough of Brent"
"london-borough-of-bromley","2","7","London Borough of Bromley"
"london-borough-of-camden","1","1","London Borough of Camden"
"london-borough-of-harrow","3","21","London Borough of Harrow"
"london-borough-of-hillingdon","1","5","London Borough of Hillingdon"
"london-borough-of-islington","1","7","London Borough of Islington"
"london-borough-of-lambeth","1","1","London Borough of Lambeth"
"london-borough-of-richmond-upon-thames","2","2","London Borough of Richmond Upon Thames"
"london-borough-of-sutton","1","1","London Borough of Sutton"
"london-borough-of-waltham-forest","2","6","London Borough of Waltham Forest"
"london-thames-gateway-development-corporation","3","5","London Thames Gateway Development Corporation"
"luton-borough-council","1","1","Luton Borough Council"
"manchester-mental-health-and-social-care-trust","1","7","Manchester Mental Health and Social Care Trust"
"marine-management-organisation","4","5","Marine Management Organisation"
"medicines-and-healthcare-products-regulatory-agency","7","8","Medicines and Healthcare products Regulatory Agency"
"medway-primary-care-trust","2","25","Medway Primary Care Trust"
"met-office","114","353","Met Office"
"mid-staffordshire-nhs-foundation-trust","1","1","Mid Staffordshire NHS Foundation Trust"
"mid-sussex-district-council","1","3","Mid Sussex District Council"
