"publisher_name","broken_package_count","broken_resource_count","publisher_title"
"west-midlands-ambulance-service-nhs-trust","1","1","West Midlands Ambulance Service NHS Trust"
"west-midlands-strategic-health-authority","29","34","West Midlands Strategic Health Authority"
"west-northamptonshire-development-corporation","1","1","West Northamptonshire Development Corporation"
"western-sussex-hospitals-nhs-trust","1","27","Western Sussex Hospitals NHS Trust"
"westminster-city-council","3","3","Westminster City Council"
"weston-area-health-nhs-trust","1","24","Weston Area Health NHS Trust"
"wiltshire-council","1","1","Wiltshire Council"
"winchester-and-eastleigh-healthcare-nhs-trust","1","9","Winchester and Eastleigh Healthcare NHS Trust"
"wirral-community-nhs-trust","1","1","Wirral Community NHS Trust"
"woking-borough-council","1","1","Woking Borough Council"
"wolverhampton-city-primary-care-trust","1","29","Wolverhampton City Primary Care Trust"
"worcestershire-acute-hospitals-nhs-trust","3","3","Worcestershire Acute Hospitals NHS Trust"
"worcestershire-county-council","6","6","Worcestershire County Council"
"worcestershire-health-and-care-nhs-trust","1","10","Worcestershire Health and Care NHS Trust"
"worcestershire-mental-health-partnership-nhs-trust","2","18","Worcestershire Mental Health Partnership NHS Trust"
"worcestershire-primary-care-trust","1","24","Worcestershire Primary Care Trust"
"wrightington-wigan-leigh-nhs-foundation-trust","1","2","Wrightington, Wigan & Leigh NHS Foundation Trust"
"young-peoples-learning-agency","3","5","Young People's Learning Agency"
"youth-justice-board","1","4","Youth Justice Board"
