"","dataset","header"
"1",1,"Post Unique Reference"
"2",1,"Name"
"3",1,"Grade (or equivalent)"
"4",1,"Job Title"
"5",1,"Job/Team Function"
"6",1,"Parent Department"
"7",1,"Organisation"
"8",1,"Unit"
"9",1,"Contact Phone"
"10",1,"Contact E-mail"
"11",1,"Reports to Senior Post"
"12",1,"Salary Cost of Reports (£)"
"13",1,"FTE"
"14",1,"Actual Pay Floor (£)"
"15",1,"Actual Pay Ceiling (£)"
"16",1,"V16"
"17",1,"Professional/Occupational Group"
"18",1,"Notes"
"19",1,"Valid?"
"20",2,"Parent Department"
"21",2,"Organisation"
"22",2,"Unit"
"23",2,"Reporting Senior Post"
"24",2,"Grade"
"25",2,"Payscale Minimum (£)"
"26",2,"Payscale Maximum (£)"
"27",2,"Generic Job Title"
"28",2,"Number of Posts in FTE"
"29",2,"Professional/Occupational Group"
"30",3,"Post Unique Reference"
"31",3,"Name"
"32",3,"Grade (or equivalent)"
"33",3,"Job Title"
"34",3,"Job/Team Function"
"35",3,"Parent Department"
"36",3,"Organisation"
"37",3,"Unit"
"38",3,"Contact Phone"
"39",3,"Contact E-mail"
"40",3,"Reports to Senior Post"
"41",3,"Salary Cost of Reports (£)"
"42",3,"FTE"
"43",3,"Actual Pay Floor (£)"
"44",3,"Actual Pay Ceiling (£)"
"45",3,"V16"
"46",3,"Professional/Occupational Group"
"47",3,"Notes"
"48",3,"Valid?"
"49",4,"Parent Department"
"50",4,"Organisation"
"51",4,"Unit"
"52",4,"Reporting Senior Post"
"53",4,"Grade"
"54",4,"Payscale Minimum (£)"
"55",4,"Payscale Maximum (£)"
"56",4,"Generic Job Title"
"57",4,"Number of Posts in FTE"
"58",4,"Professional/Occupational Group"
"59",5,"Post Unique Reference"
"60",5,"Name"
"61",5,"Grade (or equivalent)"
"62",5,"Job Title"
"63",5,"Job/Team Function"
"64",5,"Parent Department"
"65",5,"Organisation"
"66",5,"Unit"
"67",5,"Contact Phone"
"68",5,"Contact E-mail"
"69",5,"Reports to Senior Post"
"70",5,"Salary Cost of Reports (£)"
"71",5,"FTE"
"72",5,"Actual Pay Floor (£)"
"73",5,"Actual Pay Ceiling (£)"
"74",5,"V16"
"75",5,"Professional/Occupational Group"
"76",5,"Notes"
"77",5,"Valid?"
"78",6,"Parent Department"
"79",6,"Organisation"
"80",6,"Unit"
"81",6,"Reporting Senior Post"
"82",6,"Grade"
"83",6,"Payscale Minimum (£)"
"84",6,"Payscale Maximum (£)"
"85",6,"Generic Job Title"
"86",6,"Number of Posts in FTE"
"87",6,"Professional/Occupational Group"
"88",7,"Post Unique Reference"
"89",7,"Name"
"90",7,"Grade (or equivalent)"
"91",7,"Job Title"
"92",7,"Job/Team Function"
"93",7,"Parent Department"
"94",7,"Organisation"
"95",7,"Unit"
"96",7,"Contact Phone"
"97",7,"Contact E-mail"
"98",7,"Reports to Senior Post"
"99",7,"Salary Cost of Reports (£)"
"100",7,"FTE"
"101",7,"Actual Pay Floor (£)"
"102",7,"Actual Pay Ceiling (£)"
"103",7,"V16"
"104",7,"Professional/Occupational Group"
"105",7,"Notes"
"106",7,"Valid?"
"107",8,"Parent Department"
"108",8,"Organisation"
"109",8,"Unit"
"110",8,"Reporting Senior Post"
"111",8,"Grade"
"112",8,"Payscale Minimum (£)"
"113",8,"Payscale Maximum (£)"
"114",8,"Generic Job Title"
"115",8,"Number of Posts in FTE"
"116",8,"Professional/Occupational Group"
"117",9,"Post Unique Reference"
"118",9,"Name"
"119",9,"Grade"
"120",9,"Job Title"
"121",9,"Job/Team Function"
"122",9,"Parent Department"
"123",9,"Organisation"
"124",9,"Unit"
"125",9,"Contact Phone"
"126",9,"Contact E-mail"
"127",9,"Reports to Senior Post"
"128",9,"Salary Cost of Reports (£)"
"129",9,"FTE"
"130",9,"Actual Pay Floor (£)"
"131",9,"Actual Pay Ceiling (£)"
"132",9,"V16"
"133",9,"Professional/Occupational Group"
"134",9,"Notes"
"135",9,"Valid?"
"136",10,"Parent Department"
"137",10,"Organisation"
"138",10,"Unit"
"139",10,"Reporting Senior Post"
"140",10,"Grade"
"141",10,"Payscale Minimum (£)"
"142",10,"Payscale Maximum (£)"
"143",10,"Generic Job Title"
"144",10,"Number of Posts in FTE"
"145",10,"Professional/Occupational Group"
"146",11,"Post Unique Reference"
"147",11,"Name"
"148",11,"Grade (or equivalent)"
