"","dataset","header"
"149",11,"Job Title"
"150",11,"Job/Team Function"
"151",11,"Parent Department"
"152",11,"Organisation"
"153",11,"Unit"
"154",11,"Contact Phone"
"155",11,"Contact E-mail"
"156",11,"Reports to Senior Post"
"157",11,"Salary Cost of Reports (£)"
"158",11,"FTE"
"159",11,"Actual Pay Floor (£)"
"160",11,"Actual Pay Ceiling (£)"
"161",11,"V16"
"162",11,"Professional/Occupational Group"
"163",11,"Notes"
"164",11,"Valid?"
"165",12,"Parent Department"
"166",12,"Organisation"
"167",12,"Unit"
"168",12,"Reporting Senior Post"
"169",12,"Grade"
"170",12,"Payscale Minimum (£)"
"171",12,"Payscale Maximum (£)"
"172",12,"Generic Job Title"
"173",12,"Number of Posts in FTE"
"174",12,"Professional/Occupational Group"
"175",13,"Post Unique Reference"
"176",13,"Name"
"177",13,"Grade (or equivalent)"
"178",13,"Job Title"
"179",13,"Job/Team Function"
"180",13,"Parent Department"
"181",13,"Organisation"
"182",13,"Unit"
"183",13,"Contact Phone"
"184",13,"Contact E-mail"
"185",13,"Reports to Senior Post"
"186",13,"Salary Cost of Reports (£)"
"187",13,"FTE"
"188",13,"Actual Pay Floor (£)"
"189",13,"Actual Pay Ceiling (£)"
"190",13,"V16"
"191",13,"Professional/Occupational Group"
"192",13,"Notes"
"193",13,"Valid?"
"194",14,"Parent Department"
"195",14,"Organisation"
"196",14,"Unit"
"197",14,"Reporting Senior Post"
"198",14,"Grade"
"199",14,"Payscale Minimum (£)"
"200",14,"Payscale Maximum (£)"
"201",14,"Generic Job Title"
"202",14,"Number of Posts in FTE"
"203",14,"Professional/Occupational Group"
"204",15,"Post Unique Reference"
"205",15,"Name"
"206",15,"Grade (or equivalent)"
"207",15,"Job Title"
"208",15,"Job/Team Function"
"209",15,"Parent Department"
"210",15,"Organisation"
"211",15,"Unit"
"212",15,"Contact Phone"
"213",15,"Contact E-mail"
"214",15,"Reports to Senior Post"
"215",15,"Salary Cost of Reports (£)"
"216",15,"FTE"
"217",15,"Actual Pay Floor (£)"
"218",15,"Actual Pay Ceiling (£)"
"219",15,"V16"
"220",15,"Professional/Occupational Group"
"221",15,"Notes"
"222",15,"Valid?"
"223",16,"Parent Department"
"224",16,"Organisation"
"225",16,"Unit"
"226",16,"Reporting Senior Post"
"227",16,"Grade"
"228",16,"Payscale Minimum (£)"
"229",16,"Payscale Maximum (£)"
"230",16,"Generic Job Title"
"231",16,"Number of Posts in FTE"
"232",16,"Professional/Occupational Group"
"233",17,"Parent Department"
"234",17,"Organisation"
"235",17,"Unit"
"236",17,"Reporting SCS post reference"
"237",17,"Grade"
"238",17,"Payscale minimum (National)"
"239",17,"Payscale maximum (National)"
"240",17,"TOTAL Number of such posts in FTE"
"241",18,"Post Unique Reference"
"242",18,"Name"
"243",18,"Grade"
"244",18,"Job Title"
"245",18,"Job/Team Function"
"246",18,"Parent Department"
"247",18,"Organisation"
"248",18,"Unit"
"249",18,"Contact Phone"
"250",18,"Contact E-mail"
"251",18,"Reports to Senior Post"
"252",18,"Salary Cost of Reports (£)"
"253",18,"FTE"
"254",18,"Actual Pay Floor (£)"
"255",18,"Actual Pay Ceiling (£)"
"256",18,"Total Pay (£)"
"257",18,"Profession"
"258",18,"Notes"
"259",18,"Valid?"
"260",19,"Parent Department"
"261",19,"Organisation"
"262",19,"Unit"
"263",19,"Reporting Senior Post"
"264",19,"Grade"
"265",19,"Payscale Minimum (£)"
"266",19,"Payscale Maximum (£)"
"267",19,"Generic Job Title"
"268",19,"Number of Posts in FTE"
"269",19,"Profession"
"270",20,"Post Unique Reference"
"271",20,"Name"
"272",20,"Grade"
"273",20,"Job Title"
"274",20,"Job/Team Function"
"275",20,"Parent Department"
"276",20,"Organisation"
"277",20,"Unit"
"278",20,"Contact Phone"
"279",20,"Contact E-mail"
"280",20,"Reports to Senior Post"
"281",20,"Salary Cost of Reports (£)"
"282",20,"FTE"
"283",20,"Actual Pay Floor (£)"
"284",20,"Actual Pay Ceiling (£)"
"285",20,"V16"
"286",20,"Professional/Occupational Group"
"287",20,"Notes"
"288",20,"Valid?"
"289",21,"Parent Department"
"290",21,"Organisation"
"291",21,"Unit"
"292",21,"Reporting Senior Post"
"293",21,"Grade"
"294",21,"Payscale Minimum (£)"
"295",21,"Payscale Maximum (£)"
"296",21,"Generic Job Title"
"297",21,"Number of Posts in FTE"
"298",21,"Professional/Occupational Group"
"299",22,"Parent Department"
"300",22,"Organisation"
"301",22,"Unit"
"302",22,"Reporting Senior Post"
"303",22,"Grade"
"304",22,"Payscale Minimum (£)"
"305",22,"Payscale Maximum (£)"
"306",22,"Generic Job Title"
"307",22,"Number of Posts in FTE"
"308",22,"Professional/Occupational Group"
"309",23,"Post Unique Reference"
"310",23,"Name"
"311",23,"Grade (or equivalent)"
"312",23,"Job Title"
"313",23,"Job/Team Function"
"314",23,"Parent Department"
"315",23,"Organisation"
"316",23,"Unit"
"317",23,"Contact Phone"
"318",23,"Contact E-mail"
"319",23,"Reports to Senior Post"
"320",23,"Salary Cost of Reports (£)"
"321",23,"FTE"
"322",23,"Actual Pay Floor (£)"
"323",23,"Actual Pay Ceiling (£)"
"324",23,"V16"
"325",23,"Professional/Occupational Group"
"326",23,"Notes"
"327",23,"Valid?"
"328",24,"Post Unique Reference"
"329",24,"Name"
"330",24,"Grade (or equivalent)"
"331",24,"Job Title"
"332",24,"Job/Team Function"
"333",24,"Parent Department"
"334",24,"Organisation"
"335",24,"Unit"
"336",24,"Contact Phone"
"337",24,"Contact E-mail"
"338",24,"Reports to Senior Post"
"339",24,"Salary Cost of Reports (£)"
"340",24,"FTE"
"341",24,"Actual Pay Floor (£)"
"342",24,"Actual Pay Ceiling (£)"
"343",24,"V16"
"344",24,"Professional/Occupational Group"
"345",24,"Notes"
"346",24,"Valid?"
"347",25,"Parent Department"
"348",25,"Organisation"
"349",25,"Unit"
"350",25,"Reporting Senior Post"
"351",25,"Grade"
"352",25,"Payscale Minimum (£)"
"353",25,"Payscale Maximum (£)"
"354",25,"Generic Job Title"
"355",25,"Number of Posts in FTE"
"356",25,"Professional/Occupational Group"
"357",26,"Post Unique Reference"
"358",26,"Name"
"359",26,"Grade"
"360",26,"Job Title"
"361",26,"Job/Team Function"
"362",26,"Parent Department"
"363",26,"Organisation"
"364",26,"Unit"
"365",26,"Contact Phone"
"366",26,"Contact E-mail"
"367",26,"Reports to Senior Post"
"368",26,"Salary Cost of Reports (£)"
"369",26,"FTE"
"370",26,"Actual Pay Floor (£)"
"371",26,"Actual Pay Ceiling (£)"
"372",26,"Total Pay (£)"
"373",26,"Profession"
"374",26,"Notes"
"375",26,"Valid?"
"376",27,"Post Unique Reference"
"377",27,"Name"
"378",27,"Grade"
"379",27,"Job Title"
"380",27,"Job/Team Function"
"381",27,"Parent Department"
"382",27,"Organisation"
"383",27,"Unit"
"384",27,"Contact Phone"
"385",27,"Contact E-mail"
"386",27,"Reports to Senior Post"
"387",27,"Salary Cost of Reports (£)"
"388",27,"FTE"
"389",27,"Actual Pay Floor (£)"
"390",27,"Actual Pay Ceiling (£)"
"391",27,"V16"
"392",27,"Professional/Occupational Group"
"393",27,"Notes"
"394",27,"Valid?"
"395",28,"Parent Department"
"396",28,"Organisation"
"397",28,"Unit"
"398",28,"Reporting Senior Post"
"399",28,"Grade"
"400",28,"Payscale Minimum (£)"
"401",28,"Payscale Maximum (£)"
"402",28,"Generic Job Title"
"403",28,"Number of Posts in FTE"
"404",28,"Professional/Occupational Group"
"405",29,"Post Unique Reference"
"406",29,"Name"
"407",29,"Grade (or equivalent)"
"408",29,"Job Title"
"409",29,"Job/Team Function"
"410",29,"Parent Department"
"411",29,"Organisation"
"412",29,"Unit"
"413",29,"Contact Phone"
"414",29,"Contact E-mail"
"415",29,"Reports to Senior Post"
"416",29,"Salary Cost of Reports (£)"
"417",29,"FTE"
"418",29,"Actual Pay Floor (£)"
"419",29,"Actual Pay Ceiling (£)"
"420",29,"V16"
"421",29,"Professional/Occupational Group"
"422",29,"Notes"
"423",29,"Valid?"
"424",30,"Post Unique Reference"
"425",30,"Name"
"426",30,"Grade"
"427",30,"Job Title"
"428",30,"Job/Team Function"
"429",30,"Parent Department"
"430",30,"Organisation"
"431",30,"Unit"
"432",30,"Contact Phone"
"433",30,"Contact E-mail"
"434",30,"Reports to Senior Post"
"435",30,"Salary Cost of Reports (£)"
"436",30,"FTE"
"437",30,"Actual Pay Floor (£)"
"438",30,"Actual Pay Ceiling (£)"
"439",30,"V16"
"440",30,"Professional/Occupational Group"
"441",30,"Notes"
"442",30,"Valid?"
"443",31,"Parent Department"
"444",31,"Organisation"
"445",31,"Unit"
"446",31,"Reporting Senior Post"
"447",31,"Grade"
"448",31,"Payscale Minimum (£)"
"449",31,"Payscale Maximum (£)"
"450",31,"Generic Job Title"
"451",31,"Number of Posts in FTE"
"452",31,"Professional/Occupational Group"
"453",32,"Parent Department"
"454",32,"Organisation"
"455",32,"Unit"
"456",32,"Reporting Senior Post"
"457",32,"Grade"
"458",32,"Payscale Minimum (£)"
"459",32,"Payscale Maximum (£)"
"460",32,"Generic Job Title"
"461",32,"Number of Posts in FTE"
"462",32,"Professional/Occupational Group"
"463",33,"Post Unique Reference"
"464",33,"Name"
"465",33,"Grade (or equivalent)"
"466",33,"Job Title"
"467",33,"Job/Team Function"
"468",33,"Parent Department"
"469",33,"Organisation"
"470",33,"Unit"
"471",33,"Contact Phone"
"472",33,"Contact E-mail"
"473",33,"Reports to Senior Post"
"474",33,"Salary Cost of Reports (£)"
"475",33,"FTE"
"476",33,"Actual Pay Floor (£)"
"477",33,"Actual Pay Ceiling (£)"
"478",33,"V16"
"479",33,"Professional/Occupational Group"
"480",33,"Notes"
"481",33,"Valid?"
"482",34,"Parent Department"
"483",34,"Organisation"
"484",34,"Unit"
"485",34,"Reporting Senior Post"
"486",34,"Grade"
"487",34,"Payscale Minimum (£)"
"488",34,"Payscale Maximum (£)"
"489",34,"Generic Job Title"
"490",34,"Number of Posts in FTE"
"491",34,"Professional/Occupational Group"
"492",35,"Post Unique Reference"
"493",35,"Name"
"494",35,"Grade (or equivalent)"
"495",35,"Job Title"
"496",35,"Job/Team Function"
"497",35,"Parent Department"
"498",35,"Organisation"
"499",35,"Unit"
"500",35,"Contact Phone"
"501",35,"Contact E-mail"
"502",35,"Reports to Senior Post"
"503",35,"Salary Cost of Reports (£)"
"504",35,"FTE"
"505",35,"Actual Pay Floor (£)"
"506",35,"Actual Pay Ceiling (£)"
"507",35,"V16"
"508",35,"Professional/Occupational Group"
"509",35,"Notes"
"510",35,"Valid?"
"511",36,"Parent Department"
"512",36,"Organisation"
"513",36,"Unit"
"514",36,"Reporting Senior Post"
"515",36,"Grade"
"516",36,"Payscale Minimum (£)"
"517",36,"Payscale Maximum (£)"
"518",36,"Generic Job Title"
"519",36,"Number of Posts in FTE"
"520",36,"Professional/Occupational Group"
"521",37,"<html>"
"522",38,"<html>"
"523",39,"<html>"
"524",40,"<html>"
"525",41,"Post unique reference"
"526",41,"Name"
"527",41,"Grade"
"528",41,"Job Title"
"529",41,"Job/Team Function"
"530",41,"Parent Department"
"531",41,"Organisation"
"532",41,"Unit"
"533",41,"Contact phone"
"534",41,"Contact e-mail"
"535",41,"Reports To"
"536",41,"Salary Cost of Reports"
"537",41,"Notes"
"538",42,"Parent Department"
"539",42,"Organisation"
"540",42,"Unit"
"541",42,"Reporting SCS post reference"
"542",42,"Grade"
"543",42,"Payscale minimum"
"544",42,"Payscale maximum"
"545",42,"Generic job title"
"546",42,"Number of such posts in FTE"
"547",42,"Notes"
"548",43,"Parent Department"
"549",43,"Organisation"
"550",43,"Directorate"
"551",43,"Reporting SCS Post Reference"
"552",43,"Grade"
"553",43,"Payscale minimum (National)"
"554",43,"Payscale maximum (National)"
"555",43,"TOTAL Number of such posts in FTE"
"556",44,"Post Unique Reference"
"557",44,"Name"
"558",44,"Grade"
"559",44,"Job Title"
"560",44,"Job/Team Function"
"561",44,"Parent Department"
"562",44,"Organisation"
"563",44,"Unit"
"564",44,"Contact Phone"
"565",44,"Contact E-mail"
"566",44,"Reports to Senior Post"
"567",44,"Salary Cost of Reports (£)"
"568",44,"FTE"
"569",44,"Actual Pay Floor (£)"
"570",44,"Actual Pay Ceiling (£)"
"571",44,"V16"
"572",44,"Profession"
"573",44,"Notes"
"574",44,"Valid?"
"575",45,"Parent Department"
"576",45,"Organisation"
"577",45,"Unit"
"578",45,"Reporting Senior Post"
"579",45,"Grade"
"580",45,"Payscale Minimum (£)"
"581",45,"Payscale Maximum (£)"
"582",45,"Generic Job Title"
"583",45,"Number of Posts in FTE"
"584",45,"Profession"
"585",46,"Post Unique Reference"
"586",46,"Name"
"587",46,"Grade"
"588",46,"Job Title"
"589",46,"Job/Team Function"
"590",46,"Parent Department"
"591",46,"Organisation"
"592",46,"Unit"
"593",46,"Contact Phone"
"594",46,"Contact E-mail"
"595",46,"Reports to Senior Post"
"596",46,"Salary Cost of Reports (£)"
"597",46,"FTE"
"598",46,"Actual Pay Floor (£)"
"599",46,"Actual Pay Ceiling (£)"
"600",46,"V16"
"601",46,"Professional/Occupational Group"
"602",46,"Notes"
"603",46,"Valid?"
"604",47,"Post Unique Reference"
"605",47,"Name"
"606",47,"Grade (or equivalent)"
"607",47,"Job Title"
"608",47,"Job/Team Function"
"609",47,"Parent Department"
"610",47,"Organisation"
"611",47,"Unit"
"612",47,"Contact Phone"
"613",47,"Contact E-mail"
"614",47,"Reports to Senior Post"
"615",47,"Salary Cost of Reports (£)"
"616",47,"FTE"
"617",47,"Actual Pay Floor (£)"
"618",47,"Actual Pay Ceiling (£)"
"619",47,"V16"
"620",47,"Professional/Occupational Group"
"621",47,"Notes"
"622",47,"Valid?"
"623",48,"Parent Department"
"624",48,"Organisation"
"625",48,"Unit"
"626",48,"Reporting Senior Post"
"627",48,"Grade"
"628",48,"Payscale Minimum (£)"
"629",48,"Payscale Maximum (£)"
"630",48,"Generic Job Title"
"631",48,"Number of Posts in FTE"
"632",48,"Professional/Occupational Group"
"633",49,"Post Unique Reference"
"634",49,"Name"
"635",49,"Grade (or equivalent)"
"636",49,"Job Title"
"637",49,"Job/Team Function"
"638",49,"Parent Department"
"639",49,"Organisation"
"640",49,"Unit"
"641",49,"Contact Phone"
"642",49,"Contact E-mail"
"643",49,"Reports to Senior Post"
"644",49,"Salary Cost of Reports (£)"
"645",49,"FTE"
"646",49,"Actual Pay Floor (£)"
"647",49,"Actual Pay Ceiling (£)"
"648",49,"V16"
"649",49,"Professional/Occupational Group"
"650",49,"Notes"
"651",49,"Valid?"
"652",50,"Parent Department"
"653",50,"Organisation"
"654",50,"Unit"
"655",50,"Reporting Senior Post"
"656",50,"Grade"
"657",50,"Payscale Minimum (£)"
"658",50,"Payscale Maximum (£)"
"659",50,"Generic Job Title"
"660",50,"Number of Posts in FTE"
"661",50,"Professional/Occupational Group"
"662",51,"Post Unique Reference"
"663",51,"Name"
"664",51,"Grade (or equivalent)"
"665",51,"Job Title"
"666",51,"Job/Team Function"
"667",51,"Parent Department"
"668",51,"Organisation"
"669",51,"Unit"
"670",51,"Contact Phone"
"671",51,"Contact E-mail"
"672",51,"Reports to Senior Post"
"673",51,"Salary Cost of Reports (£)"
"674",51,"FTE"
"675",51,"Actual Pay Floor (£)"
"676",51,"Actual Pay Ceiling (£)"
"677",51,"V16"
"678",51,"Professional/Occupational Group"
"679",51,"Notes"
"680",51,"Valid?"
"681",52,"Parent Department"
"682",52,"Organisation"
"683",52,"Unit"
"684",52,"Reporting Senior Post"
"685",52,"Grade"
"686",52,"Payscale Minimum (£)"
"687",52,"Payscale Maximum (£)"
"688",52,"Generic Job Title"
"689",52,"Number of Posts in FTE"
"690",52,"Professional/Occupational Group"
"691",53,"Parent Department"
"692",53,"Organisation"
"693",53,"Unit"
"694",53,"Reporting Senior Post"
"695",53,"Grade"
"696",53,"Payscale Minimum (£)"
"697",53,"Payscale Maximum (£)"
"698",53,"Generic Job Title"
"699",53,"Number of Posts in FTE"
"700",53,"Profession"
"701",54,"Post Unique Reference"
"702",54,"Name"
"703",54,"Grade"
"704",54,"Job Title"
"705",54,"Job/Team Function"
"706",54,"Parent Department"
"707",54,"Organisation"
"708",54,"Unit"
"709",54,"Contact Phone"
"710",54,"Contact E-mail"
"711",54,"Reports to Senior Post"
"712",54,"Salary Cost of Reports (£)"
"713",54,"FTE"
"714",54,"Actual Pay Floor (£)"
"715",54,"Actual Pay Ceiling (£)"
"716",54,"V16"
"717",54,"Professional/Occupational Group"
"718",54,"Notes"
"719",54,"Valid?"
"720",55,"Parent Department"
"721",55,"Organisation"
"722",55,"Unit"
"723",55,"Reporting Senior Post"
"724",55,"Grade"
"725",55,"Payscale Minimum (£)"
"726",55,"Payscale Maximum (£)"
"727",55,"Generic Job Title"
"728",55,"Number of Posts in FTE"
"729",55,"Professional/Occupational Group"
"730",56,"Post Unique Reference"
"731",56,"Name"
"732",56,"Grade (or equivalent)"
"733",56,"Job Title"
"734",56,"Job/Team Function"
"735",56,"Parent Department"
"736",56,"Organisation"
"737",56,"Unit"
"738",56,"Contact Phone"
"739",56,"Contact E-mail"
"740",56,"Reports to Senior Post"
"741",56,"Salary Cost of Reports (£)"
"742",56,"FTE"
"743",56,"Actual Pay Floor (£)"
"744",56,"Actual Pay Ceiling (£)"
"745",56,"V16"
"746",56,"Professional/Occupational Group"
"747",56,"Notes"
"748",56,"Valid?"
"749",57,"Parent Department"
"750",57,"Organisation"
"751",57,"Unit"
"752",57,"Reporting Senior Post"
"753",57,"Grade"
"754",57,"Payscale Minimum (£)"
"755",57,"Payscale Maximum (£)"
"756",57,"Generic Job Title"
"757",57,"Number of Posts in FTE"
"758",57,"Professional/Occupational Group"
"759",58,"Post Unique Reference"
"760",58,"Name"
"761",58,"Grade (or equivalent)"
"762",58,"Job Title"
"763",58,"Job/Team Function"
"764",58,"Parent Department"
"765",58,"Organisation"
"766",58,"Unit"
"767",58,"Contact Phone"
"768",58,"Contact E-mail"
"769",58,"Reports to Senior Post"
"770",58,"Salary Cost of Reports (£)"
"771",58,"FTE"
"772",58,"Actual Pay Floor (£)"
"773",58,"Actual Pay Ceiling (£)"
"774",58,"V16"
"775",58,"Professional/Occupational Group"
"776",58,"Notes"
"777",58,"Valid?"
"778",59,"Parent Department"
"779",59,"Organisation"
"780",59,"Unit"
"781",59,"Reporting Senior Post"
"782",59,"Grade"
"783",59,"Payscale Minimum (£)"
"784",59,"Payscale Maximum (£)"
"785",59,"Generic Job Title"
"786",59,"Number of Posts in FTE"
"787",59,"Professional/Occupational Group"
"788",60,"Post Unique Reference"
"789",60,"Name"
"790",60,"Grade"
"791",60,"Job Title"
"792",60,"Job/Team Function"
"793",60,"Parent Department"
"794",60,"Organisation"
"795",60,"Unit"
"796",60,"Contact Phone"
"797",60,"Contact E-mail"
"798",60,"Reports to Senior Post"
"799",60,"Salary Cost of Reports (£)"
"800",60,"FTE"
"801",60,"Actual Pay Floor (£)"
"802",60,"Actual Pay Ceiling (£)"
"803",60,"V16"
"804",60,"Profession"
"805",60,"Notes"
"806",60,"Valid?"
"807",61,"Parent Department"
"808",61,"Organisation"
"809",61,"Unit"
"810",61,"Reporting Senior Post"
"811",61,"Grade"
"812",61,"Payscale Minimum (£)"
"813",61,"Payscale Maximum (£)"
"814",61,"Generic Job Title"
"815",61,"Number of Posts in FTE"
"816",61,"Profession"
"817",62,"Parent Department"
"818",62,"Organisation"
"819",62,"Unit"
"820",62,"Reporting Senior Post"
"821",62,"Grade"
"822",62,"Payscale Minimum (£)"
"823",62,"Payscale Maximum (£)"
"824",62,"Generic Job Title"
"825",62,"Number of Posts in FTE"
"826",62,"Professional/Occupational Group"
"827",63,"Post Unique Reference"
"828",63,"Name"
"829",63,"Grade"
"830",63,"Job Title"
"831",63,"Job/Team Function"
"832",63,"Parent Department"
"833",63,"Organisation"
"834",63,"Unit"
"835",63,"Contact Phone"
"836",63,"Contact E-mail"
"837",63,"Reports to Senior Post"
"838",63,"Salary Cost of Reports (£)"
"839",63,"FTE"
"840",63,"Actual Pay Floor (£)"
"841",63,"Actual Pay Ceiling (£)"
"842",63,"V16"
"843",63,"Professional/Occupational Group"
"844",63,"Notes"
"845",63,"Valid?"
"846",64,"Post Unique Reference"
"847",64,"Name"
"848",64,"Grade (or equivalent)"
"849",64,"Job Title"
"850",64,"Job/Team Function"
"851",64,"Parent Department"
"852",64,"Organisation"
"853",64,"Unit"
"854",64,"Contact Phone"
"855",64,"Contact E-mail"
"856",64,"Reports to Senior Post"
"857",64,"Salary Cost of Reports (£)"
"858",64,"FTE"
"859",64,"Actual Pay Floor (£)"
"860",64,"Actual Pay Ceiling (£)"
"861",64,"V16"
"862",64,"Professional/Occupational Group"
"863",64,"Notes"
"864",64,"Valid?"
"865",65,"Parent Department"
"866",65,"Organisation"
"867",65,"Unit"
"868",65,"Reporting Senior Post"
"869",65,"Grade"
"870",65,"Payscale Minimum (£)"
"871",65,"Payscale Maximum (£)"
"872",65,"Generic Job Title"
"873",65,"Number of Posts in FTE"
"874",65,"Professional/Occupational Group"
"875",66,"Post Unique Reference"
"876",66,"Name"
"877",66,"Grade (or equivalent)"
"878",66,"Job Title"
"879",66,"Job/Team Function"
"880",66,"Parent Department"
"881",66,"Organisation"
"882",66,"Unit"
"883",66,"Contact Phone"
"884",66,"Contact E-mail"
"885",66,"Reports to Senior Post"
"886",66,"Salary Cost of Reports (£)"
"887",66,"FTE"
"888",66,"Actual Pay Floor (£)"
"889",66,"Actual Pay Ceiling (£)"
"890",66,"V16"
"891",66,"Professional/Occupational Group"
"892",66,"Notes"
"893",66,"Valid?"
"894",67,"Parent Department"
"895",67,"Organisation"
"896",67,"Unit"
"897",67,"Reporting Senior Post"
"898",67,"Grade"
"899",67,"Payscale Minimum (£)"
"900",67,"Payscale Maximum (£)"
"901",67,"Generic Job Title"
"902",67,"Number of Posts in FTE"
"903",67,"Professional/Occupational Group"
"904",68,"Post Unique Reference"
"905",68,"Name"
"906",68,"Grade (or equivalent)"
"907",68,"Job Title"
"908",68,"Job/Team Function"
"909",68,"Parent Department"
"910",68,"Organisation"
"911",68,"Unit"
"912",68,"Contact Phone"
"913",68,"Contact E-mail"
"914",68,"Reports to Senior Post"
"915",68,"Salary Cost of Reports (£)"
"916",68,"FTE"
"917",68,"Actual Pay Floor (£)"
"918",68,"Actual Pay Ceiling (£)"
"919",68,"V16"
"920",68,"Professional/Occupational Group"
"921",68,"Notes"
"922",68,"Valid?"
"923",69,"Parent Department"
"924",69,"Organisation"
"925",69,"Unit"
"926",69,"Reporting Senior Post"
"927",69,"Grade"
"928",69,"Payscale Minimum (£)"
"929",69,"Payscale Maximum (£)"
"930",69,"Generic Job Title"
"931",69,"Number of Posts in FTE"
"932",69,"Professional/Occupational Group"
"933",70,"Post Unique Reference"
"934",70,"Name"
"935",70,"Grade (or equivalent)"
"936",70,"Job Title"
"937",70,"Job/Team Function"
"938",70,"Parent Department"
"939",70,"Organisation"
"940",70,"Unit"
"941",70,"Contact Phone"
"942",70,"Contact E-mail"
"943",70,"Reports to Senior Post"
"944",70,"Salary Cost of Reports (£)"
"945",70,"FTE"
"946",70,"Actual Pay Floor (£)"
"947",70,"Actual Pay Ceiling (£)"
"948",70,"V16"
"949",70,"Professional/Occupational Group"
"950",70,"Notes"
"951",70,"Valid?"
"952",71,"Parent Department"
